Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
1.5,65,2,3,2,5.5,35,2,0,0,Low,5,Public,3,1.5,1,High School,25,Male,32
2.0,70,3,4,3,6.0,40,3,1,1,Low,6,Public,4,2.0,1,High School,20,Female,38
1.0,60,2,2,1,5.0,30,2,0,0,Low,4,Public,2,1.0,1,High School,30,Male,28
2.5,75,4,5,4,6.5,45,4,1,2,Low,7,Private,5,3.0,0,Bachelor,15,Female,42
1.8,68,3,3,2,5.8,38,3,0,1,Low,5,Public,3,1.8,1,High School,22,Male,35
2.2,72,3,4,3,6.2,43,3,1,1,Low,6,Public,4,2.5,0,Bachelor,18,Female,40
1.2,62,2,2,2,5.2,32,2,0,0,Low,4,Public,2,1.2,1,High School,28,Male,30
2.3,73,4,5,4,6.3,44,4,1,2,Low,7,Private,5,3.2,0,Bachelor,14,Female,41
1.6,66,2,3,2,5.6,36,2,0,1,Low,5,Public,3,1.6,1,High School,24,Male,33
2.1,71,3,4,3,6.1,42,3,1,1,Low,6,Public,4,2.3,0,Bachelor,17,Female,39
5.0,82,5,7,6,7.8,72,7,1,3,Medium,8,Private,7,5.0,0,Bachelor,10,Male,68
5.2,83,5,7,6,7.9,73,7,1,3,Medium,8,Private,7,5.2,0,Bachelor,9,Female,70
4.8,81,5,6,5,7.7,70,7,1,2,Medium,7,Private,6,4.8,0,Bachelor,12,Male,66
5.5,85,6,8,7,8.0,75,8,1,4,Medium,9,Private,8,5.5,0,Master,8,Female,72
5.0,82,5,7,6,7.8,71,7,1,3,Medium,8,Private,7,5.0,0,Bachelor,11,Male,69
5.3,84,5,7,7,7.9,74,7,1,3,Medium,8,Private,7,5.3,0,Bachelor,10,Female,71
4.9,80,5,6,5,7.6,69,6,1,2,Medium,7,Private,6,4.9,0,Bachelor,13,Male,65
5.4,85,6,8,7,8.0,76,8,1,4,Medium,9,Private,8,5.4,0,Master,7,Female,73
5.1,83,5,7,6,7.8,72,7,1,3,Medium,8,Private,7,5.1,0,Bachelor,10,Male,68
5.0,81,5,7,6,7.7,70,7,1,2,Medium,7,Private,6,5.0,0,Bachelor,12,Female,67
8.5,95,9,10,9,8.5,92,10,1,5,High,10,Private,9,8.0,0,Master,5,Male,88
8.7,96,9,10,9,8.6,94,10,1,5,High,10,Private,9,8.2,0,Master,4,Female,91
8.3,94,8,9,8,8.4,90,9,1,4,High,9,Private,8,7.8,0,Master,6,Male,86
8.9,97,9,10,10,8.7,95,10,1,5,High,10,Private,10,8.5,0,PhD,3,Female,93
8.4,94,8,9,8,8.3,91,9,1,4,High,9,Private,8,7.9,0,Master,6,Male,87
8.6,95,9,10,9,8.5,93,10,1,5,High,10,Private,9,8.1,0,Master,5,Female,90
8.2,93,8,9,8,8.2,89,9,1,4,High,9,Private,8,7.7,0,Master,7,Male,85
8.8,96,9,10,9,8.6,94,10,1,5,High,10,Private,9,8.3,0,Master,4,Female,92
8.5,95,9,10,9,8.5,92,10,1,5,High,10,Private,9,8.0,0,Master,5,Male,88
8.4,94,8,9,8,8.4,91,9,1,4,High,9,Private,8,7.9,0,Master,6,Female,87
